,Star_name,Distance,Mass,Radius,,Star_name,Distance,Mass,Radius
81,KIC 8462852,"1,470",1.43,1.58,331,WISE 2220-3628,26.4,,
82,R136a1,"1,63,000",290,32,125,TWA 29,262,2.00,25
83,Melnick 42,"1,63,000",189,21.1,42,2MASS J03341218-4953322,27.0,73,1.04
84,WR 102,"18,134",19,0.39,91,2MASS J08533619-0329321,27.6,77,1.07
85,VFTS 352,"1,64,000",57.48,14.47,159,WISEPA J164715.59+563208.2,28,41,0.94
86,YBP 1194,"2,772",1.01,0.99,214,WISE 0313+7807,28,,
87,Gliese 1214,47.5,0.16,0.21,247,WISE 0647-6232,28,,
88,NML Cygni,"5,251",50,1900,300,WISE 1647+5632,28,,
89,VB 10,18.72,0.075,0.1,10,2MASS 0036+1821,28.6,42,0.94
90,WOH G64,"1,63,000",20,1600,309,WISE 1800+0134,28.7,57,
91,TRAPPIST-1,39.6,0.089,0.12,54,2MASS J04390101-2353083 [de],29.5,48,0.97
92,2MASS J0523-1403,40.3,0.07,0.086,76,2MASSI J0727182+171001 [de],29.6,41,0.94
93,WISE 0855−0714,7.27,0.003,0.086,133,ULAS J141623.94+134836.3,29.7,32,0.96
94,Icarus,"14,40,00,00,000",33,0.2,47,2MASS J03552337+1133437,29.8,20,1.32
95,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173537,16,CFBDS J005910.90–011401.3,30,23,
96,2MASS J00040288-6410358,192,0.018137172,0.16750369,203,WISE 0148-7202,30,,
97,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,310,WISE 1804+3117,30,,
98,2MASS J00274197+0503417,236,0.029592228,0.14797872,9,2MASS J00345157+0523050,31,42,0.94
99,2MASSW J0030300-145033,87.2,0.051547752,0.10070774,116,2MASSW J1155395-372735 [de],31,64,1.00
100,2MASS J00332386-1521309 [de],131,0.027683052,0.14695109,257,WISE 0811-8051,32,,
101,2MASS J00345157+0523050,31,0.040092696,0.09659722,175,2MASS J21392676+0220226,32.1,46,0.96
102,2MASS 0036+1821,28.6,0.040092696,0.09659722,295,WISE 1614+1739,32.6,,
103,2MASSW J0045214+163445,57,0.021955524,0.16647606,274,WISE 1150+6302,32.9,,
104,WISEP J004701.06+680352.1 [fr],40,0.011455056,0.1335919,280,WISE 1318-1758,32.9,,
105,2MASS J00501994-3322402 [de],34,0.03818352,0.09659722,282,WISE 1322-2340,33.9,,
106,2MASS J00584253-0651239 [de],96,0.027683052,0.14695109,13,2MASS J00501994-3322402 [de],34,40,0.94
107,2MASSI J0103320+193536,70,0.049638576,0.10070774,52,2MASS J04351612-1606574,34,100,1.26
108,SDSSp J010752.33+004156.1 [de],51,0.049638576,0.10070774,65,2MASS J05591914-1404488 [de],34,,
109,2MASSI J0117474-340325 [de],163,0.01909176,0.16647606,149,2MASSW J1515008+484742 [de],34,57,0.99
110,2MASS J01415823-4633574 [de],130,0.01909176,0.16544843,275,WISE 1217+1626A,34.2,12,
111,SDSS J015141.69+124429.6,70,0.044865636,0.09968011,276,WISE 1217+1626B,34.2,6,
112,SDSS J020742.48+000056.2 [de],111,0.044865636,0.09968011,321,WISE 2030+0749,34.2,,
113,2MASS J02103857-3015313,101,0.01431882,0.15722739,103,2MASS J1047538+212423 [de],34.4,42,0.94
114,2MASS J02340093-6442068,155,0.01909176,0.16647606,66,LSR 0602+3910 [de],34.6,28,1.41
115,2MASS J02411151-0326587 [de],152,0.025773876,0.14489583,252,WISE 0734-7157,34.9,,
116,2MASS J02431371−2453298,35,0.031501404,0.10173537,29,2MASS J02431371−2453298,35,33,0.99
117,LP 771-21,53,0.074457864,0.11098404,85,2MASS J08251968+2115521 [de],35,52,0.98
118,Teegarden's star,12.578,0.07636704,0.13050901,181,2MASS J22282889-4310262,35,42,0.94
119,2MASS J02535980+3206373,184,0.06204822,0.1952497,142,TVLM 513-46546,35.1,75,1.05
120,WISE J0254+0223,24,0.06204822,0.1952497,229,WISE 0458+6434A,35.9,15,4.2
121,DEN 0255-4700,16.2,0.07636704,0.09968011,230,WISE 0458+6434B,35.9,10,3.8
122,2MASS J03185403-3421292 [de],45,0.046774812,0.09968011,338,WISE 2313-8037,35.9,,
123,2MASS J03205965+1854233,47,0.084003744,0.11817745,120,2MASSI J1217110-031113 [de],36,42,0.94
124,2MASS J03231002-4631237,192,0.021955524,0.17058658,156,SDSSp J162414.37+002915.6 [de],36,43,0.94
125,SDSS J032553.17+042540.1,59,0.04295646,0.09762485,313,WISE 1828+2650,36,,
126,2MASS J03264225-2102057 [de],80,0.017182584,0.1335919,219,WISE 0325+0831,36.5,,
127,2MASS J03284265+2302051 [de],98,0.051547752,0.10070774,193,WISE 0038+2758,36.9,,
128,2MASS J03341218-4953322,27,0.069684924,0.10687352,152,2MASS J15462718-3325111 [de],37,44,0.94
129,LP 944-20,20.9,0.069684924,0.14695109,246,WISE 0627-1114,37.2,,
130,2MASP J0345432+254023,88,0.070639512,0.10790115,320,WISE 1959-3338,37.2,,
131,Teide 1,380,0.05250234,0.38844414,244,WISE 0623-0456,37.5,,
132,2MASS J03510004-0052452,48,0.097367976,0.13050901,340,WISE 2325-4105,37.5,,
133,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,3,2MASS J00242463-0158201,37.7,79,1.09
134,2MASS J04151954−0935066,18.6,0.02863764,0.09762485,343,WISE 2340-0745,37.8,,
135,2MASS J04285096-2253227 [de],85,0.07636704,0.11201167,126,SDSSp J125453.90-012247.4 [de],38,47,0.98
136,2MASS J04351612-1606574,34,0.0954588,0.12948138,135,DENIS-P J142527.97-365023.4 [de],38,21,1.32
137,2MASS J04362788-4114465,142,0.037228932,0.20244311,180,2MASSW J2224438-015852,38,61,0.99
138,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968011,136,LHS 2924,38.5,76,1.06
139,2MASS J04433764+0002040,82,0.021000936,0.18291814,256,WISE 0759-4904,38.8,,
140,2MASS J04455387-3048204 [de],42,0.061093632,0.102763,45,Teide 1,380,55,3.78
141,2MASS J04510093-3402150 [de],69,0.000992772,7.398936,70,2MASS J06244595-4521548 [de],39,56,0.99
142,2MASS J05002100+0330501 [de],44,0.061093632,0.102763,164,2MASS J18283572-4849046,39,45,0.95
143,2MASS J05012406-0010452 [de],64,0.020046348,0.14181294,255,WISE 0751-7634,39.1,,
144,2MASS J05160945-0445499 [de],73,0.044865636,0.09968011,301,WISE 1653+4444,39.5,,
145,2MASS J0523−1403,40,0.064911984,0.10379063,12,WISEP J004701.06+680352.1 [fr],40,12,1.3
146,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,62,2MASS J0523−1403,40,68,1.01
147,LSR 0602+3910 [de],34.6,0.026728464,0.14489583,73,2MASS J07003664+3157266 [de],40,,
148,2MASS J06085283-2753583,102,0.036274344,0.15517213,270,WISE 1051-2138,40.8,,
149,2MASS J06244595-4521548 [de],39,0.053456928,0.10173537,293,WISE 1542+2230,41.1,,
150,2MASS J06411840-4322329 [de],65,0.063957396,0.10379063,64,SDSS J053951.99-005902.0,41.62,61,1.01
151,DENIS-P J0652197-253450 [de],51,0.0715941,0.10790115,57,2MASS J04455387-3048204 [de],42,64,1.00
152,2MASS J07075327-4900503,60,0.068730336,0.10584589,262,WISE 0857+5604,42.1,,
153,UGPS J072227.51-054031.2,13.4,0.024819288,0.10070774,325,WISE 2019-1148,42.4,,
154,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659722,327,WISE 2134-7137,42.7,,
